SKU_CD,PLNT_CD,SLOC_CD,SNAP_DT,OH_STK_QTY,INTR_TRNSIT_QTY,OPEN_PO_QTY,RSVD_SO_QTY,AVAIL_STK_QTY,SS_QTY,ROP_VAL,LT_DAYS,MOQ_QTY,DOH_CNT,DOS_CNT,INV_STS_CD,LAST_GR_DT,LAST_GI_DT,EOQ_QTY
RF01000,PLNT_CHI,SL83,2026-05-15,6495,860,1303,2004,3847,1626,2252,11,100,14.7,54.4,EXCESS,2026-05-02,2026-05-15,3453
RF01000,PLNT_DAL,SL68,2026-05-15,11838,860,3936,4792,7609,1323,1808,11,250,75.4,25.3,EXCESS,2026-05-09,2026-05-15,3645
RF01000,PLNT_ATL,SL57,2026-05-15,6600,188,4338,6539,3470,572,1276,9,100,68.8,26.1,OK,2026-05-06,2026-05-13,3625
RF01000,PLNT_LAX,SL63,2026-05-15,13489,1275,4495,9727,13298,940,1388,21,500,50.9,83.0,OK,2026-04-22,2026-05-13,2302
RF01001,PLNT_CHI,SL29,2026-05-15,10711,1810,1402,3735,6849,1170,1391,17,100,27.0,167.4,OK,2026-04-19,2026-05-09,3091
RF01001,PLNT_DAL,SL95,2026-05-15,13499,1819,4523,4596,6865,758,1413,17,100,46.9,44.2,OK,2026-05-07,2026-05-14,4146
RF01001,PLNT_ATL,SL85,2026-05-15,6893,1074,634,6705,4663,1216,1637,13,250,21.1,23.6,OK,2026-05-01,2026-05-12,4291
RF01001,PLNT_LAX,SL51,2026-05-15,8424,1011,4935,951,5946,335,796,21,100,35.2,29.1,LOW,2026-04-25,2026-05-09,1873
RF01002,PLNT_CHI,SL80,2026-05-15,6635,1048,3631,3367,5794,1893,2556,9,500,20.9,13.7,OK,2026-05-15,2026-05-08,3765
RF01002,PLNT_DAL,SL97,2026-05-15,1298,222,1477,234,652,509,852,21,1000,2.9,11.3,OK,2026-04-18,2026-05-10,1222
RF01002,PLNT_ATL,SL82,2026-05-15,8965,1325,4423,8568,5795,1999,2658,6,250,18.6,25.8,LOW,2026-04-29,2026-05-13,717
RF01002,PLNT_LAX,SL59,2026-05-15,10630,1464,4882,600,9660,1894,2494,3,1000,143.6,35.7,OK,2026-04-30,2026-05-13,1679
RF01003,PLNT_CHI,SL45,2026-05-15,6350,1854,4189,5429,4562,1333,2054,10,250,16.4,21.0,EXCESS,2026-04-16,2026-05-15,2487
RF01003,PLNT_DAL,SL51,2026-05-15,11695,942,4186,10062,8306,847,992,16,1000,23.8,30.7,LOW,2026-05-08,2026-05-12,3271
RF01003,PLNT_ATL,SL66,2026-05-15,5805,483,831,1399,3110,1614,2170,3,1000,11.6,66.3,OK,2026-05-05,2026-05-15,3107
RF01003,PLNT_LAX,SL92,2026-05-15,7208,191,4299,3919,4678,1584,1717,14,250,20.1,20.0,LOW,2026-04-29,2026-05-11,2795
RF01004,PLNT_CHI,SL23,2026-05-15,4315,1990,625,2550,4054,291,709,14,250,20.8,82.8,LOW,2026-04-23,2026-05-14,1748
RF01004,PLNT_DAL,SL61,2026-05-15,3716,1097,3636,466,3052,1527,1957,4,250,10.0,11.4,EXCESS,2026-04-28,2026-05-14,806
