PRMO_ID,SKU_CD,BRAND_NM,CAT_NM,CHNL_CD,REG_NM,PRMO_TYP_CD,PRMO_START_DT,PRMO_END_DT,DSCNT_PCT,BASE_SO_QTY,INCRMNTL_SO_QTY,TOT_SO_QTY,LIFT_FCTR,REV_AMT_USD,COGS_AMT_USD,GP_AMT_USD,GM_PCT,TRADE_SPEND_AMT,ROI_VAL,PRMO_STS_CD,APRVD_FLG
PRMO01001,RF01023,RefreshCo,Energy Drinks,ECOMM,SOUTHEAST,TPR,2025-09-10,2026-05-11,0.17,8659,2246,10905,1.259,37746.41,25154.1,12592.31,0.3336,1592.19,7.909,CMPLTD,Y
PRMO01002,RF01025,SweetWave,Energy Drinks,CONV_STORE,WEST,BOGOF,2025-09-13,2026-05-14,0.18,2511,3028,5539,2.206,27798.77,18048.08,9750.69,0.3508,3335.64,2.923,CMPLTD,N
PRMO01003,RF01002,ZingEnergy,Carbonated Soft Drinks,CLUB,NORTHEAST,COMBO,2025-09-03,2026-05-10,0.23,19428,34483,53911,2.775,64343.92,43749.78,20594.14,0.3201,12293.19,1.675,ACTV,Y
PRMO01004,RF01047,SweetWave,Sweet Snacks,MASS_MERCH,SOUTHEAST,BOGOF,2025-09-10,2026-05-14,0.2,4045,3282,7327,1.812,8499.98,4759.83,3740.15,0.44,951.78,3.93,PNDNG,Y
PRMO01005,RF01036,CrunchBite,Salty Snacks,GROCERY,SOUTHEAST,FEAT,2026-03-02,2026-05-10,0.25,5459,1669,7128,1.306,14861.96,9749.32,5112.64,0.344,1159.95,4.408,CMPLTD,Y
PRMO01006,RF01018,SweetWave,Energy Drinks,CLUB,SOUTHEAST,TPR,2025-10-10,2026-05-10,0.21,4082,5184,9266,2.27,25330.16,16940.48,8389.68,0.3312,3766.69,2.227,PNDNG,Y
PRMO01007,RF01016,ZingEnergy,Energy Drinks,ECOMM,NORTHEAST,FEAT,2025-12-11,2026-05-13,0.32,15217,9610,24827,1.632,36634.96,20666.58,15968.38,0.4359,6673.18,2.393,CMPLTD,Y
PRMO01008,RF01041,SweetWave,Salty Snacks,CLUB,MIDWEST,DISP,2025-11-01,2026-05-15,0.35,9871,3593,13464,1.364,30630.98,16988.63,13642.35,0.4454,4401.42,3.1,CMPLTD,Y
PRMO01009,RF01030,CrunchBite,Salty Snacks,CLUB,WEST,COMBO,2025-06-06,2026-05-15,0.33,12502,16160,28662,2.293,101396.67,57563.12,43833.55,0.4323,28157.18,1.557,CNCLD,Y
PRMO01010,RF01018,SweetWave,Energy Drinks,DRUG_STORE,MIDWEST,DISP,2025-06-25,2026-05-11,0.22,1264,1442,2706,2.142,7305.5,4130.95,3174.55,0.4345,1097.65,2.892,CMPLTD,Y
