VNDOR_ID,VNDOR_NM,WK_START_DT,PO_CNT,PO_LINE_CNT,RCVD_QTY,RJCTD_QTY,OTD_PCT,OTIF_PCT,FILL_RATE_PCT,DEFCT_RATE_PCT,LT_ACTV_DAYS,LT_AGRD_DAYS,LT_DELTA_DAYS,COST_VAR_PCT,VNDOR_STS_CD,CRTCL_MATL_FLG,ALTN_VNDOR_AVAIL_FLG
V001,AmeriCan Packaging Ltd,2026-02-20,55,48,32541,273,0.9653,0.7791,0.9396,0.03735,28,11,1,0.1405,APRVD,N,N
V001,AmeriCan Packaging Ltd,2026-02-27,76,130,27076,273,0.9109,0.683,0.8093,0.00443,11,15,9,0.021,SUSP,Y,Y
V001,AmeriCan Packaging Ltd,2026-03-06,67,58,18556,379,0.8992,0.7792,0.9337,0.02522,17,5,-2,-0.0429,APRVD,N,N
V001,AmeriCan Packaging Ltd,2026-03-13,66,87,2815,316,0.7549,0.7013,0.8248,0.00565,20,9,12,0.07,APRVD,N,Y
V001,AmeriCan Packaging Ltd,2026-03-20,24,250,1245,425,0.7925,0.8678,0.8376,0.01959,13,21,0,-0.0094,APRVD,N,N
V001,AmeriCan Packaging Ltd,2026-03-27,46,83,6067,219,0.9474,0.9126,0.9227,0.00425,22,10,-5,-0.0029,PNDNG,N,N
V001,AmeriCan Packaging Ltd,2026-04-03,63,174,46612,439,0.7499,0.9096,0.8589,0.00816,20,19,2,-0.0155,APRVD,N,Y
V001,AmeriCan Packaging Ltd,2026-04-10,74,141,46423,35,0.768,0.8694,0.981,0.03875,18,19,2,-0.0046,APRVD,N,N
V001,AmeriCan Packaging Ltd,2026-04-17,64,265,12262,451,0.9229,0.7661,0.9207,0.0087,13,14,14,0.0582,APRVD,N,Y
V001,AmeriCan Packaging Ltd,2026-04-24,65,76,23122,462,0.8296,0.8862,0.8584,0.03588,24,6,0,-0.0265,APRVD,N,N
V001,AmeriCan Packaging Ltd,2026-05-01,33,158,35992,331,0.7251,0.7661,0.8557,0.02367,16,6,-5,-0.0017,APRVD,Y,N
V001,AmeriCan Packaging Ltd,2026-05-08,66,136,32318,212,0.7544,0.9349,0.877,0.02809,25,9,-1,-0.0537,APRVD,N,N
V002,SugarSource Co,2026-02-20,33,231,40295,118,0.7343,0.9005,0.9364,0.01147,23,6,-2,-0.0023,APRVD,N,Y
V002,SugarSource Co,2026-02-27,63,114,12945,202,0.8039,0.6991,0.8934,0.03479,16,5,-5,-0.0155,APRVD,N,Y
V002,SugarSource Co,2026-03-06,33,131,22624,312,0.8624,0.8937,0.8852,0.01294,8,12,5,-0.0465,PNDNG,N,Y
V002,SugarSource Co,2026-03-13,15,200,17331,441,0.8807,0.909,0.8316,0.031,8,14,9,-0.0407,APRVD,Y,Y
V002,SugarSource Co,2026-03-20,10,123,10388,309,0.8719,0.8466,0.9336,0.02581,16,14,9,-0.0733,APRVD,N,Y
