SKU_CD,BRAND_NM,CAT_NM,WK_START_DT,WK_NUM,YR_NUM,CHNL_CD,REG_NM,PLNT_CD,ACTV_SELL_QTY_WK,HIST_AVG_QTY_4WK,UNCNSTND_FCST_QTY_WK,ADJSTD_DMND_QTY_WK,ADJSTD_DMND_QTY_WK4_FCST,ADJSTD_DMND_QTY_WK8_FCST,ADJSTD_DMND_QTY_WK13_FCST,BIAS_PCT,MAPE_PCT,PRMO_FLG,NEW_ITM_FLG,PREV_YR_ACTV_QTY_WK,YOY_DELTA_PCT
RF01000,ZingEnergy,Carbonated Soft Drinks,2025-11-14,46,2025,MASS_MERCH,SOUTHEAST,PLNT_CHI,11611,11916,12598,13161,12487,11198,11543,0.1248,0.0868,N,N,11471,0.0175
RF01000,ZingEnergy,Carbonated Soft Drinks,2025-11-21,47,2025,MASS_MERCH,MIDWEST,PLNT_CHI,13015,12336,14510,13887,15065,14685,15281,0.0334,0.1777,N,N,15141,-0.0111
RF01000,ZingEnergy,Carbonated Soft Drinks,2025-11-28,48,2025,ECOMM,MIDWEST,PLNT_CHI,12825,11796,12528,12839,12764,12814,11698,-0.0073,0.0809,N,N,13327,0.095
RF01000,ZingEnergy,Carbonated Soft Drinks,2025-12-05,49,2025,CLUB,WEST,PLNT_CHI,14054,14403,12739,12393,12797,10259,14317,-0.0634,0.1541,N,N,14160,-0.1017
RF01000,ZingEnergy,Carbonated Soft Drinks,2025-12-12,50,2025,GROCERY,SOUTHWEST,PLNT_CHI,12708,14223,12822,13224,12833,12518,14614,0.0429,0.1536,N,N,14971,-0.0437
RF01000,ZingEnergy,Carbonated Soft Drinks,2025-12-19,51,2025,DRUG_STORE,WEST,PLNT_CHI,14071,13918,13770,13526,14803,11097,16376,-0.0732,0.1005,N,N,14062,0.0495
RF01000,ZingEnergy,Carbonated Soft Drinks,2025-12-26,52,2025,CLUB,SOUTHWEST,PLNT_CHI,13718,12951,12795,12523,11415,14899,13433,0.0293,0.1224,N,N,11485,0.1103
RF01000,ZingEnergy,Carbonated Soft Drinks,2026-01-02,1,2026,DRUG_STORE,MIDWEST,PLNT_CHI,16115,15965,14976,15473,15663,14295,18450,0.0114,0.1645,N,N,18834,0.0289
RF01000,ZingEnergy,Carbonated Soft Drinks,2026-01-09,2,2026,DRUG_STORE,MIDWEST,PLNT_CHI,12840,13961,12442,12802,14375,12967,15168,0.0115,0.1096,N,N,12786,0.1389
RF01000,ZingEnergy,Carbonated Soft Drinks,2026-01-16,3,2026,DRUG_STORE,MIDWEST,PLNT_CHI,15439,14865,16025,16094,17801,19195,14107,0.1,0.0324,N,N,15272,0.1985
RF01000,ZingEnergy,Carbonated Soft Drinks,2026-01-23,4,2026,MASS_MERCH,SOUTHWEST,PLNT_CHI,15767,17615,17313,17576,19875,15255,22174,-0.0206,0.1064,N,N,18355,0.088
RF01000,ZingEnergy,Carbonated Soft Drinks,2026-01-30,5,2026,CONV_STORE,MIDWEST,PLNT_CHI,15753,17155,17997,17231,17955,16732,13656,0.0243,0.0774,N,N,16551,0.1983
RF01000,ZingEnergy,Carbonated Soft Drinks,2026-02-06,6,2026,CLUB,MIDWEST,PLNT_CHI,16223,16382,17104,16650,18969,18377,16317,-0.0401,0.1893,N,N,17481,0.1386
RF01000,ZingEnergy,Carbonated Soft Drinks,2026-02-13,7,2026,MASS_MERCH,SOUTHEAST,PLNT_CHI,15872,17000,15448,15254,15530,15788,17847,0.006,0.1317,N,N,14226,0.0827
RF01000,ZingEnergy,Carbonated Soft Drinks,2026-02-20,8,2026,GROCERY,SOUTHWEST,PLNT_CHI,16205,16053,15613,15230,16971,16410,12697,-0.0032,0.0684,N,N,15714,0.0796
RF01000,ZingEnergy,Carbonated Soft Drinks,2026-02-27,9,2026,MASS_MERCH,SOUTHWEST,PLNT_CHI,15928,14778,15867,15840,16294,16448,20213,0.1746,0.0735,N,N,16348,0.3581
RF01000,ZingEnergy,Carbonated Soft Drinks,2026-03-06,10,2026,CONV_STORE,SOUTHEAST,PLNT_CHI,15481,13805,16279,16273,16888,15522,17695,-0.1016,0.0545,N,N,17576,-0.0844
RF01000,ZingEnergy,Carbonated Soft Drinks,2026-03-13,11,2026,ECOMM,MIDWEST,PLNT_CHI,14838,15359,14500,14414,15428,12313,13064,-0.1048,0.1194,Y,N,17636,-0.0346
RF01000,ZingEnergy,Carbonated Soft Drinks,2026-03-20,12,2026,DRUG_STORE,MIDWEST,PLNT_CHI,14315,15450,13803,14251,15307,13520,11558,-0.0141,0.1522,N,N,15598,0.0247
RF01000,ZingEnergy,Carbonated Soft Drinks,2026-03-27,13,2026,GROCERY,MIDWEST,PLNT_CHI,18310,19648,18153,18680,19044,18545,20671,-0.0063,0.0827,N,N,15441,-0.1005
RF01000,ZingEnergy,Carbonated Soft Drinks,2026-04-03,14,2026,MASS_MERCH,NORTHEAST,PLNT_CHI,16153,17642,16804,17501,18292,17438,19628,0.0379,0.1023,Y,Y,19357,-0.0082
RF01000,ZingEnergy,Carbonated Soft Drinks,2026-04-10,15,2026,CLUB,WEST,PLNT_CHI,16558,16707,16510,16297,16117,17960,13557,0.059,0.0964,N,N,19548,0.0679
RF01000,ZingEnergy,Carbonated Soft Drinks,2026-04-17,16,2026,GROCERY,MIDWEST,PLNT_CHI,16837,16608,19154,19834,20261,23633,18645,0.0357,0.0888,Y,N,16532,0.0865
RF01000,ZingEnergy,Carbonated Soft Drinks,2026-04-24,17,2026,MASS_MERCH,SOUTHEAST,PLNT_CHI,15358,15716,13904,14302,15512,12842,17016,-0.0778,0.0449,N,N,17043,-0.0133
RF01000,ZingEnergy,Carbonated Soft Drinks,2026-05-01,18,2026,ECOMM,MIDWEST,PLNT_CHI,16169,15304,18529,19432,21134,16745,23497,-0.0845,0.1582,N,N,13037,0.1233
RF01000,ZingEnergy,Carbonated Soft Drinks,2026-05-08,19,2026,DRUG_STORE,MIDWEST,PLNT_CHI,15762,15463,14633,13994,14182,12054,14232,0.0615,0.1368,N,N,15897,0.028
RF01001,ZingEnergy,Carbonated Soft Drinks,2025-11-14,46,2025,CLUB,SOUTHWEST,PLNT_CHI,11910,12902,11988,11518,10355,9798,12351,0.0764,0.1641,N,N,11077,0.0786
RF01001,ZingEnergy,Carbonated Soft Drinks,2025-11-21,47,2025,CLUB,NORTHEAST,PLNT_CHI,10573,10455,11115,10669,11754,11387,12349,0.0167,0.1124,N,N,9891,-0.0421
RF01001,ZingEnergy,Carbonated Soft Drinks,2025-11-28,48,2025,CONV_STORE,SOUTHEAST,PLNT_CHI,9304,8399,9366,9520,10077,9522,7600,0.0439,0.1748,N,N,7927,0.1052
RF01001,ZingEnergy,Carbonated Soft Drinks,2025-12-05,49,2025,CLUB,SOUTHWEST,PLNT_CHI,11716,11889,12506,12394,13704,13559,15656,0.0938,0.0749,N,N,12450,-0.0259
RF01001,ZingEnergy,Carbonated Soft Drinks,2025-12-12,50,2025,ECOMM,SOUTHEAST,PLNT_CHI,10420,11283,10335,10606,11559,12103,13432,0.0578,0.1545,N,Y,12208,-0.1104
RF01001,ZingEnergy,Carbonated Soft Drinks,2025-12-19,51,2025,CONV_STORE,MIDWEST,PLNT_CHI,10812,9982,11630,11407,10056,13124,11979,-0.0354,0.0931,N,Y,11876,0.0788
RF01001,ZingEnergy,Carbonated Soft Drinks,2025-12-26,52,2025,ECOMM,WEST,PLNT_CHI,10895,10478,10813,11052,9969,9283,9211,0.1015,0.0537,N,N,10832,-0.0812
RF01001,ZingEnergy,Carbonated Soft Drinks,2026-01-02,1,2026,CONV_STORE,WEST,PLNT_CHI,10421,11058,9675,9607,9669,10313,7436,0.0428,0.0558,Y,N,9217,0.1393
RF01001,ZingEnergy,Carbonated Soft Drinks,2026-01-09,2,2026,MASS_MERCH,SOUTHEAST,PLNT_CHI,11409,10938,10290,10544,10321,11465,10703,0.0667,0.1744,Y,N,9320,-0.1483
RF01001,ZingEnergy,Carbonated Soft Drinks,2026-01-16,3,2026,CLUB,SOUTHWEST,PLNT_CHI,12708,13812,13266,13363,12765,13014,16865,0.0412,0.1887,N,N,12005,0.297
RF01001,ZingEnergy,Carbonated Soft Drinks,2026-01-23,4,2026,CONV_STORE,MIDWEST,PLNT_CHI,11060,10889,11061,10594,9933,11823,8374,0.0347,0.0706,Y,N,10401,-0.0696
RF01001,ZingEnergy,Carbonated Soft Drinks,2026-01-30,5,2026,MASS_MERCH,WEST,PLNT_CHI,12385,11337,11464,11184,10286,12397,8834,-0.0099,0.2005,N,N,12778,-0.0108
RF01001,ZingEnergy,Carbonated Soft Drinks,2026-02-06,6,2026,CLUB,MIDWEST,PLNT_CHI,10978,11354,12587,12364,11365,10459,12170,-0.1302,0.1043,Y,N,10145,0.1309
RF01001,ZingEnergy,Carbonated Soft Drinks,2026-02-13,7,2026,GROCERY,WEST,PLNT_CHI,11411,12319,10488,10870,11244,10501,11495,0.0281,0.2143,Y,N,11738,-0.0158
RF01001,ZingEnergy,Carbonated Soft Drinks,2026-02-20,8,2026,CONV_STORE,NORTHEAST,PLNT_CHI,12025,12028,13701,13633,13785,12073,12014,0.1209,0.0603,N,N,11413,0.0892
RF01001,ZingEnergy,Carbonated Soft Drinks,2026-02-27,9,2026,CLUB,MIDWEST,PLNT_CHI,11577,11127,12149,12500,11214,10698,13869,0.1003,0.0995,N,N,13305,0.2281
RF01001,ZingEnergy,Carbonated Soft Drinks,2026-03-06,10,2026,CLUB,SOUTHWEST,PLNT_CHI,11292,10320,11150,11671,10661,12713,9277,0.1116,0.0397,N,N,12208,-0.0224
